date_time,quality
2015-01-04 00:05:00,392
2015-01-04 01:05:00,384
2015-01-04 02:05:00,393
2015-01-04 03:05:00,399
2015-01-04 04:05:00,400
2015-01-04 05:05:00,417
2015-01-04 06:05:00,408
2015-01-04 07:05:00,404
2015-01-04 08:05:00,405
2015-01-04 09:05:00,405
2015-01-04 10:05:00,405
2015-01-04 11:05:00,395
2015-01-04 12:05:00,376
2015-01-04 13:05:00,373
2015-01-04 14:05:00,392
2015-01-04 15:05:00,400
2015-01-04 16:05:00,401
2015-01-04 17:05:00,415
2015-01-04 18:05:00,428
2015-01-04 19:05:00,433
2015-01-04 20:05:00,437
2015-01-04 21:05:00,454
2015-01-04 22:05:00,464
2015-01-04 23:05:00,477
2015-01-05 00:05:00,486
2015-01-05 01:05:00,487
2015-01-05 02:05:00,486
2015-01-05 03:05:00,494
2015-01-05 04:05:00,491
2015-01-05 05:05:00,489
2015-01-05 06:05:00,485
2015-01-05 07:05:00,466
2015-01-05 08:05:00,456
2015-01-05 09:05:00,434
2015-01-05 10:05:00,420
2015-01-05 11:05:00,413
2015-01-05 12:05:00,410
2015-01-05 13:05:00,426
2015-01-05 14:05:00,446
2015-01-05 15:05:00,467
2015-01-05 16:05:00,464
2015-01-05 17:05:00,466
2015-01-05 18:05:00,474
2015-01-05 19:05:00,462
2015-01-05 20:05:00,459
2015-01-05 21:05:00,446
2015-01-05 22:05:00,435
2015-01-05 23:05:00,417
2015-01-06 00:05:00,399
2015-01-06 01:05:00,374
2015-01-06 02:05:00,350
2015-01-06 03:05:00,344
2015-01-06 04:05:00,347
2015-01-06 05:05:00,357
2015-01-06 06:05:00,359
2015-01-06 07:05:00,361
2015-01-06 08:05:00,369
2015-01-06 09:05:00,380
2015-01-06 10:05:00,377
2015-01-06 11:05:00,385
2015-01-06 12:05:00,379
2015-01-06 13:05:00,371
2015-01-06 14:05:00,368
2015-01-06 15:05:00,377
2015-01-06 16:05:00,401
2015-01-06 17:05:00,410
2015-01-06 18:05:00,403
2015-01-06 19:05:00,379
2015-01-06 20:05:00,396
2015-01-06 21:05:00,397
2015-01-06 22:05:00,377
2015-01-06 23:05:00,361
2015-01-07 00:05:00,338
2015-01-07 01:05:00,320
2015-01-07 02:05:00,319
2015-01-07 03:05:00,328
2015-01-07 04:05:00,350
2015-01-07 05:05:00,379
2015-01-07 06:05:00,388
2015-01-07 07:05:00,371
2015-01-07 08:05:00,354
2015-01-07 09:05:00,333
2015-01-07 10:05:00,350
2015-01-07 11:05:00,353
2015-01-07 12:05:00,361
2015-01-07 13:05:00,349
2015-01-07 14:05:00,350
2015-01-07 15:05:00,362
2015-01-07 16:05:00,360
2015-01-07 17:05:00,359
2015-01-07 18:05:00,351
2015-01-07 19:05:00,367
2015-01-07 20:05:00,377
2015-01-07 21:05:00,382
